text;tone
"Отношение персонала вежливое, доброжелательное. Все работают быстро и четко. Особенно благодарна врачу Мальцеву А. В. и анестезиологу. Но ее имя и отчество не знаю, которые проводили процедуру. После процедуры совершенно никаких неприятных ощущений не было. Врач подробно и доступно рассказал о том, что было выявлено при процедуре и дал рекомендации. [...] Анализ на гистологию пришел быстро, и мне позвонили и сообщили результат. Спасибо всему персонал клиники.
                        ";1
"В начале июня я, наконец-то, решилась на диагностику, к которой морально готовилась почти три года - ФГС с седацией. Было тревожно: боялась и наркоза, и результата обследования! Поводов для беспокойства было достаточно: я - аллергик, в анамнезе бронхиальная астма, да и трехлетние боли в эпигастрии не прибавляли оптимизма. Страх постепенно стал отступать, когда мы с мужем (взяла как сопровождение) вошли в клинику. Солидное помещение, прекрасный дизайн, вежливые и обходительные администраторы! За стойкой регистрации обслужили быстро, хотя пациенты подходили и отходили постоянно. Мы с мужем приехали раньше, поэтому нас попросили подождать. Приятно были удивлены альбомами по истории живописи и архитектуры, которые лежали на журнальных столиках. Сразу почувствовали стиль и интеллигентность персонала клиники! Все страхи и сомнения окончательно рассеялись, когда в положенное время состоялись беседы с врачом-анестезиологом Томм Татьяной Викторовной и врачом функциональной диагностики Можаевой Еленой Анатольевной. Они не просто смогли успокоить, но и вселили уверенность, что все будет хорошо! Спасибо огромное и низкий поклон Томм Татьяне Викторовне, Можаевой Елене Анатольевне и медсестре Ляминой Марии Александровне за высочайший профессионализм, чуткость и внимательное отношение к нам - страждущим пациентам! Менеджменту клиники отдельное спасибо за прекрасно организованную работу всего коллектива! Планируем с мужем посетить данное медицинское учреждение ещё раз!
                        ";1
"Третий раз обследования по части эндоскопии делаю здесь, с седацией. Можаева Е. А. - очень внимательный доктор, точно ничего не пропустит.
                        ";1
"Возникли проблемы по ""мужской части"". Обратился в клинику. Посоветовли обратиться к Мирославу Николаевичу Кернесюку. Доктор выслушал проблему, мною был сдан ряд анализов после чего назначен курс лечения. Огромное спасибо Мирославу Николаевичу за оказанную квалифицированную помощь.
                        ";1
"Отзыв о докторе Можаева Е. А. 22. 04. 2022 обратилась в клинику ""Уро-Про"" по адресу Кузнечная, 83. Необходимо было отцу провести колоноскопию. Сердечно благодарю за оказанную помощь. От всей души хочу сказать Можаевой Елене Анатольевне большое спасибо за проделанную работу. Всё прошло на высшем уровне. А также выражаю благодарность мед персоналу, девушки очень отзывчивые и добродушные! Комфорт на высшем уровне! Сотрудники работают оперативно! Будем обращаться к вам снова и снова! Искренне благодарим вас!
                        ";1
"Обратилась в клинику ""УРО-ПРО"" по рекомендации и не была разочарована. Все сотрудники очень вежливые, внимательные. Обратилась с проблемой трещины заднего прохода, которая постепенно начала переходить в хроническую, спустя 1,5 месяца безуспешного лечения. Думала, что без операции уже не обойтись. Попала на приём к Тянишову Дмитрию Сергеевичу, чему в процессе лечения была очень рада. Помимо доброжелательного и дружелюбного отношения, Дмитрий Сергеевич подобрал нужное лечение, которое решило мою проблему. К тому же, это, наварное, первый специалист, который не несёт в себе цели вытрясти из вас побольше денег. На протяжении всего лечения чувствуешь поддержку. Дмитрий Сергеевич упокоил меня и объяснил, что в моем случае заболевание еще не перешло в хроническое. Мне провели лечение аутоплазмой, изначально я относилась к этому методу скептически, но сейчас с уверенностью могу сказать, что это замечательный метод, который поможет избежать операции, вся процедура проходит быстро. Способ не из дешёвых, но на собственном здоровье экономить - не стоит, к тому же если запустить трещину до хронической, операция обойдётся намного дороже и реабилитационный период будет длится дольше. Настоятельно рекомендую не тянуть с посещением врача, как это было в моем случае, это на первый взгляд проблема кажется незначительной, однако она может принести существенный дискомфорт в будущем без правильного подхода к лечению.
                        ";1
"Обратилась к врачу Тянишову Дмитрию Сергеевичу по поводу анальной трещины. До этого 5 месяцев думала, что справлюсь с проблемой. Не справилась. Тактичный прием, обследование, лечение - все просто супер. Спасибо, Дмитрий Сергеевич!
                        ";1
"Проходила в данной клинике гастроскопию под седацией. Пришла в плохом состоянии, с большими страхами. Врач Можаева Е. А. подробно всё объяснила, рассказала о результатах. Анестезиолог Томм Т. В. - отдельное спасибо за отзывчивость, внимательность, заботу. Процедура прошла очень комфортно, никаких неприятных ощущений, как будто ничего со мной не делали. Вход и выход из наркоза очень мягкий. Огромное спасибо всем врачам и медсестрам, которые со мной работали.
                        ";1
"Обратилась в клинику в критической ситуации. Получила всю необходимую информацию по моей ситуации и помощь. Все пугали, что это очень болезненный и неприятный осмотр, но всё прошло быстро и без неприятных ощущений. Моё лечение ещё не закончилось. Продолжаю проходить этапы со своим доктором.
                        ";1
"Я обращался к врачу, по телефону записали быстро на приём. На приёме у врача всё было понятно рассказано. Начал лечение, всё процедуры вовремя. Медсестры делают свою работу профессионально и относятся к тебе по-человечески. Лечение прошло успешно. Спасибо вам.
                        ";1
"Проходила гастро и колоноскопию под анестезией. Врач Мальцев А. В. Всё прошло очень хорошо, приятная атмосфера, бесплатная парковка подземная в паре шагов, очень внимательное общение с анестезиологом и обследующим врачом. Всё заранее объяснили и обсудили объём обследования. Очень прекрасно себя чувствовала, после обследования, даже неохото теперь и вспоминать какой ужас переносила ранее при гастроскопии в нашей поликлинике. В завершении после обследования, горячим чаем напоили с шоколадкой. Медсестрички внимательные, общительные. После процедуры получила результаты обследования, заключение и рекомендации. Мне всё понравилось
                        ";1
"Проходил колоноскопию с седацией биопсией и гистологией в марте 2022. Больше боялся. Уснул, проснулся, и все уже позади. Огромное спасибо всем врачам этой замечательной клиники!
                        ";1
"Посещал данную клинику, УЗИ, колоноскопию... Впечатления остались очень приятные. Всех не помню по именам, поэтому в общем... Очень доброжелательный медперсонал и врачи.
                        ";1
"Здравствуйте. Была сегодня на колоноскопии с седацией, в клинике. Все прошло очень хорошо. Спасибо всему персоналу.
                        ";1
"Отправила мужа с проблемой в «УРО-ПРО» к урологу-андрологу Львову Вячеславу Николаевичу. Считаю, что врач проблему не решил. Опередил несколько диагнозов, которые, как по мне, не соответствовали ситуации мужа. Пришлось самостоятельно всё читать и сравнивать симптомы. И срочно записываться к другим докторам. Обратились в «УРО-ПРО», чтобы глав врач разобрался в ситуации. Ответа так и не последовало. делаю вывод, зря выброшены на ветер немалые деньги. Никому не рекомендую «УРО-ПРО».
                        ";0
"У меня был наружный геморроидальный узел, кровоточил. Обратилась к проктологу Татьяне Владимировне Сугак. Очень профессиональный врач, выслушала и назначила в тот же день операцию по удалению узла. Всё прошло просто замечательно. Назначили лечение. Сейчас чувствую себя замечательно, ничего не беспокоит. Спасибо большое медцентру ""УРО-ПРО"".
                        ";1
"Обращался в клинику к урологу, фамилию называть не буду, с болями в области таза. Боли длились уже около двух лет. Рассказал свою историю, заметил, что у доктора от радости руки за тряслись. Вот он наш клиент. Я уже 2 года искал уролога, который реально шарит. Стал врач рассказывать заученную историю о том, что мы будем делать. В общем, выкатил мне 60000 руб. за курс лечения. Деньги были на тот момент, ничего не вызывало сомнений, стали лечить простатит. Через 2 месяца результата ноль. У врача заученные отговорки. В общем, понял я, что меня тупо [...]. Отозвался я об этом докторе на сайте[...]. Короче, у меня простата кальцинатами нашпигована, так что узист уро-прошный офигел. А вот у уролога это никаких подозрений не вызвало. Тупо лечим простатит, состояние вообще ни на чуть не улучшилось. Пришел я к нему, он такой хороший, бесплатно взял анализы, в которых ничего не было, развел руками и пнул меня в команду позвоночника. Я там еще 250000 руб. выкинул и с бурситом обеих колен еле уполз оттуда. Как бурсит появился? На руках вены плохие. В одну руку поставили, на следующий день пришел к ним, рука как перчатка боксерская, пройдет, говорят. Короче, [...] вены на руке и одной ноге. Будьте осторожней с нашими [...]. 5 лет болею СХБТ, за это время ни разу не встретил врача, который хочет работать.
                        ";0
"Внимательный доктор! Обследование и последующее лечение понравилось! Персонал просто великолепный, внимательный! Доволен! Улучшение состояния моего очень значительное! Буду продолжать сотрудничество, наблюдение следует!
                        ";1
"Добрый день. В феврале 2022 года я делал колоноскопию. Хочу выразить огромную признательность и благодарность врачу Можаевой Елене Анатольевне за её профессионализм внимательное, доброжелательное и чуткое отношение. Все понятно, в доступной форме рассказала о процедуре, про результат её исследования и дала необходимые рекомендации. Хотелось бы пожелать Вам успехов в профессиональной деятельности, счастья, добра. Также хотел бы выразить благодарность анестезиологу Томм Татьяне Викторовне, которая очень подробно и досконально объяснила и провела процедуру седации, а также замечательным медсёстрам Семеновой Евгении, Ушаковой Марии, Тарасовой Татьяне и всему персоналу, спасибо Вам за отзывчивость и терпение. Колоноскопия была проведена под седацией, уснул-проснулся – обследование закончилось. Никаких болезненных ощущений ни во время процедуры, ни после нее. Буду рекомендовать вашу клинику всем своим знакомым.
                        ";1
"По многочисленным положительным отзывам выбрал эту клинику для решения одного интимного вопроса и не прогадал! Записался на консультацию потом операция потом повторный приём и завершающий приём. Всё четко, быстро, профессионально. Реально чувствуется международный уровень. Спасибо лично Мирославу Николаевичу.
                        ";1
"Нашёл сайт в интернете в первой строке, по отзывам все всем довольны. Записался на приём, это заняло буквально пару минут. Перезвонили, уточнили все детали, спросили, когда мне удобно. Приём прошёл хорошо. Мой врач Кернесюк Мирослав Николаевич. Он профессионал, это точно, рассказывает всё чётко и подробно. Если непонятно, объясняет чуть ли не на пальцах. Всё рассказал: как будет проходить, что, зачем и почему. Процедуры проходят быстро. Мирослав Николаевич делает все аккуратно и чётко. Всё для людей. Подход к каждому с трепетом. На ресепшене обязательно поинтересуются, как ваши успехи, всё ли у вас в порядке. Рекомендую для всей семьи.
                        ";1
"Врач Сугак Татьяна Владимировна. Очень профессиональный, вежливый специалист. Вылечила меня за 1 визит, все подробно рассказала. С ее подходом к лечению я не испытала никакого дискомфорта и стеснения. Персонал клиники также очень вежлив и приветлив! Огромное спасибо!
                        ";1
"Все понравилось. Проходил большое обследование. Процедуры и приемы специалистов были расписаны на 3 дня на разное время. Никакой предоплаты не требовали. Администраторы молодцы - при появлении свободных окон перезванивали и предлагали другое время. В итоге все прошел за два дня. Общий сервис на высоком уровне. Чисто, тихо, очень вежливо. Врачи вежливы и профессиональны. Всему персоналу большое спасибо.
                        ";1
"Обратилась в клинику с деликатной проблемой, очень долго решалась на процедуру. Пришла на приём к Звягину Сергею Викторовичу, всё на высшем уровне, проблема ушла, нет предела моей радости, восторг, суперврач, волшебник, огромное спасибо. Всем рекомендую.
                        ";1
"Я очень тщательно выбираю врачей узкого профиля. Вот и с выбором колопроктолога не ошиблась. Сугак Т. В. - отличный врач. Выслушает, задаст все нужные вопросы. Предложит самые разные методы лечения. Самое хорошее, что меня порадовало, это подготовка к осмотру. Достаточно быстро и просто. Моей проблеме уже 7 лет, ее не излечить до идеала, но поддерживать в состоянии ремиссии возможно. Спасибо!
                        ";1
"Огромную благодарность хочу выразить доктору колопроктологу Тянишову Дмитрию Сергеевичу за профессионализм и заботу. Я впервые обратилась к такого профиля специалисту. Было очень страшно. Конечно пришла тогда, когда уже не могла больше терпеть. Дмитрий Сергеевич после осмотра произвел операцию на удаление тромбоза в день обращения. Выдал чёткие рекомендации благодаря чему я очень быстро восстановилась. Очень рекомендую этого доктора.
                        ";1
"На днях проходила процедуру ФГС в этой клинике (впервые). Есть с чем сравнить. Начиная с гардеробщицы, заканчивая врачом, у меня одни положительные эмоции. Окружают сразу вниманием, заботой. А главное квалифицированное оказание услуг. Всем советую, полный восторг.
                        ";1
"Хочу выразить огромную благодарность врачам клиники Можаевой Елене Анатольевне, Томм Татьяне Викторовне, Семеновой Евгении Валерьевне, анастезистке Марии и медсестре (не знаю имя), которая меня поила чайком и поддерживала разговор. Поздравить с Наступающими праздниками их и их близких и пожелать здоровья и благополучия в наше не простое время, у них правда золотые сердца. Профи в своей работе. А еще выразить хочу большую благодарность администратору Елене, которая нянчилась со мной, объясняя мне несколько раз ответы на мои вопросы. Все слова поздравления и благодарности так же адресую для нее. Жаль она не работала 28 декабря.
                        ";1
"Отношение персонала, доктор Мальцев А. В. очень внимательный и доброжелательный, с приятным чувством юмора и высокой степенью поофессионализма.
                        ";1
"Делала колоноскопию. В клинике чисто, уютно, отношение медперсонала приветливое. Больше спасибо команде Мальцева Александра Владимировича, осталась довольна.
                        ";1
"Клинику узнал через интернет. Делали колоноскопию. Спасибо доктору Можаевой Елене Анатольевне, Анестезиологу, персоналу за чуткое доброе отношение и профессионализм. Также огромное спасибо Доктору Звягину Сергей Викторовичу за лечение и доброе отношение.
                        ";1
"Доброжелательное и чуткое отношение медицинского персонала и профессионализм докторов. Комфортные условия для прохождения лечения и ожидания приема.
                        ";1
"Действительно, понравилось. От дня обращения до приема по моей заявке было всего 5 дней, необходимых для подготовки к процедуре колоноскопии. Обходительный, терпеливый персонал на всех этапах обслуживания. Внимательное отношение к состоянию пациента перед процедурой врача-анестезиолога (не запомнила его ФИО), врача Мальцева А. В. Я рада, что обратилась в центр, где могут не только провести качественную диагностику состояния, но и во время обследования выполнить необходимые процедуры. Возможность проведения всех операций безболезненно для больного, в состоянии приятного, спокойного, глубокого сна, очень впечатлило. Кроме того, врач в заключении отразил рекомендации к устранению рисков осложнений после оперативного вмешательства (диета, нагрузки, режим) , лично позвонил мне, когда пришли результаты исследования. Моя личная благодарность врачу Мальцеву А. В. за внимание, тактичность и психологическую поддержку.
                        ";1
"Добрый день. Нужно было пройти колоноскопию, выбор пал на Уро-про, т. к. хорошая репутация у клиники. Делали с седацией, для меня все эти процедуры в первый раз, все прошло замечательно, уснул и проснулся, никакого дискомфорта. Большая благодарность всему персоналу клиники, особенно Можаевой Елена Анатольевне и команде анестезиологов. Очень благожелательно и профессионально.
                        ";1
"Обратилась к врачу Звягину Сергею Викторовичу, удаление варикоза геморроидального узла. Все прошло в спокойной обстановке. Врач помог как успокоится, так и оперативно с медсестрой сделал операцию. Благодарю вас за внимательное отношение.
                        ";1
"Обратилась к врачу срочно, думала мази назначат. А предложили сразу лечение оперативное. Анастезия болезненная первый раз была. Все сделали. Не все заживало хорошо, гипергрануляция, ещё раз потом пришлось убирать. Что приятно, все последующие приемы и манипуляции были бесплатны и врач всегда был на связи в вотс апе. Я благодарна.
                        ";1
"В клинику обратился по рекомендации родственников, т. к. проживаю в другом регионе. С первого приёма оказана квалифицированная медпомощь, дана консультация по лечению.
                        ";1
"Быстро записали на прием. Назначили квалифицированное лечение. Спасибо врачу Звягину С. В.
                        ";1
"Но спустя 4 месяца проблема стала возвращаться, 13.10.2021 года позвонила и записалась к Ольге Леонидовне на 14.10.2021 в 9.40, на следующий день 14.10.2021 в связи с нехваткой времени попросила отменить запись, без проблем отменили запись, но в жизни всякое же бывает, время появилось, и в 9.30 я позвонила и уточнила, можно ли на 9.40 приехать, меня спросили, успеваю я или нет, я сказала, что должна, так как рядом работаю. На подъезде к клинике в 9.41 мне перезванивают и спрашивают, где я, ответила, что вот уже подъезжаю, мне предложили сейчас взять клиента, который после меня, но мне придётся подождать. Естественно, я понимаю, что опаздываю, согласилась на это, и готова была подождать, и уже оставалась мне метров 30-40 до клиники, в 9.43 мне перезванивают и говорят, что врач не сможет меня принять после, и могут записать меня на 13.40, я отвечаю, что мне буквально осталось 30 метров, я уже около клиники, на что администратор говорит мне, что передает слова врача, и ничего сделать не может. Я говорю, что тогда отменяйте запись на 13.40, что какой смысл мне перезаписываться позже, если я уже здесь! То есть никакой человечности у Ваших сотрудников нет? Предложить может хотя бы другого врача? Так как я вчера (13.10.2021) администратору говорила, о том что есть проблемы, и хотелось бы посетить врача. Да, я не отрицаю, что с моей стороны тоже не очень было компетентно, то запишусь, то откажусь, то снова запишусь. Но можно же отнестись по-человечески? Раз есть клиент после меня, и он уже на месте, и пошел на мое время, значит, время после меня его свободно, ну или раз уж так пошло, то предложить другого врача.
                        ";0
"Не в первый раз уже здесь прохожу колоноскопию. Врач Можаева Елена Анатольевна - отличный эндоскопист, и даже рекомендую ее своим знакомым. И женщина-анестезиолог тоже приятная. Но в последний раз столкнулась с неприятным отношением персонала, а именно, которые находились в палате, где пробуждаешься от наркоза (в операционной они тоже присутствовали). Раньше всегда были приятные женщины-медсестры, интересовались, спрашивали про самочувствие. Но в последний раз я слушала только разговоры двух медсестёр и медбрата, что они будут на обед, и прочие свои личные беседы (я думаю, для личных бесед должно быть какое-то отдельное служебное помещение) после наркоза, их дела, и что они будут есть меня не очень интересовали. Ни как самочувствие, ни чего-то там ещё. Ах да, сказали: ""Вам нельзя пить, - и, - пойдёте в туалет?"" Спасибо и на этом. Видимо, мешала им там. Я такого отношения за все время ни разу не встречала у вас.
                        ";0
"Здравствуйте! В середине июля 2021 я обратилась к проктологу Сугак Татьяне Владимировне. Врач провел ряд процедур в рамках лечебных мероприятий. В течение месяца за несколько посещений моя проблема была решена. [...] Хочется также отметить работу администраторов клиники. 3 сентября 2021 года в 11:30, после очередной процедуры у проктолога мне стало плохо, так как я тяжело переношу болевые ощущения даже после обезболивающих препаратов. Администратор Елена (кажется, именно так ее звали) заметила мое состояние. Она и ее коллега уделили мне внимание, принесли чай с шоколадкой, предложив посидеть на диване, пока не станет лучше. Через некоторое время еще раз Елена подошла ко мне, чтобы убедиться, что со мной все в порядке, и я смогу дойти до дома. Спасибо вам огромное, уважаемые администраторы! Ваше внимание по-настоящему важно для клиентов!
                        ";1
